K,metric,mean,std,n,se,ci95_lo,ci95_hi
38,runtime_s,1.1757940196990966,0.13626317143908076,100,0.013626317143908075,1.1487564502344616,1.2028315891637316
39,runtime_s,1.2100012588500977,0.15122251823396296,100,0.015122251823396295,1.1799954304359561,1.2400070872642392
40,runtime_s,1.230492238998413,0.1576323338220469,100,0.01576323338220469,1.1992145641096295,1.2617699138871965
41,runtime_s,1.254163703918457,0.16066069579293088,100,0.016066069579293088,1.2222851363138567,1.2860422715230573
42,runtime_s,1.2770168375968933,0.16820340812539034,100,0.016820340812539032,1.2436416322251924,1.3103920429685942
43,runtime_s,1.2956032395362853,0.168504193464794,100,0.0168504193464794,1.2621683518276612,1.3290381272449094
44,runtime_s,1.325767080783844,0.18218310573515006,100,0.018218310573515008,1.2896180001146094,1.3619161614530786
45,runtime_s,1.33416344165802,0.17745287269544574,100,0.017745287269544573,1.298952941847019,1.369373941469021
46,runtime_s,1.3570651531219482,0.17149750060264246,100,0.017149750060264247,1.3230363283369018,1.3910939779069946
47,runtime_s,1.389827721118927,0.1823427066347406,100,0.018234270663474057,1.3536469721686468,1.426008470069207
48,runtime_s,1.4108570337295532,0.18287237947861285,100,0.018287237947861284,1.3745711861957124,1.447142881263394
49,runtime_s,1.4285756468772888,0.18595911422679393,100,0.01859591142267939,1.391677324202209,1.4654739695523686
50,runtime_s,1.4424082612991334,0.18831383190083026,100,0.018831383190083026,1.4050427115515511,1.4797738110467156
51,runtime_s,1.4627393698692321,0.19463630100406373,100,0.019463630100406373,1.4241193050845982,1.5013594346538661
52,runtime_s,1.491347906589508,0.19722995362523288,100,0.01972299536252329,1.452213204855129,1.5304826083238872
53,runtime_s,1.5061916351318358,0.2004625069133563,100,0.02004625069133563,1.4664155246943367,1.545967745569335
54,runtime_s,1.5214876461029052,0.19853784126401483,100,0.019853784126401482,1.482093431086162,1.5608818611196484
55,runtime_s,1.5388623809814452,0.19863288231544995,100,0.019863288231544995,1.4994493077581668,1.5782754542047237
1,test_PR_AUC,0.7847569283215026,0.04096059664815437,100,0.004096059664815437,0.7766294572998664,0.7928843993431387
