representation,classifier,sens_L2,sens_raw,sens_delta,prec_L2,prec_raw,prec_delta,auc_L2,auc_raw,auc_delta
chebyshev_20,LogisticRegression,0.8401785714285713,0.6857142857142857,-0.1544642857142856,0.8066111640992035,0.3515580403457531,-0.4550531237534504,0.9167781913208742,0.7609320557491289,-0.15584613557174531
legendre_30,XGBoost,0.8053571428571429,0.7419642857142857,-0.06339285714285714,0.7805967443997408,0.4541973929232405,-0.3263993514765003,0.9167465156794424,0.8365319132087425,-0.08021460247069989
legendre_40,RandomForest,0.7919642857142858,1.0,0.2080357142857142,0.7474866983294097,0.1989342806394316,-0.5485524176899781,0.9165940766550522,0.5,-0.4165940766550522
legendre_50,XGBoost,0.7821428571428571,0.69375,-0.08839285714285716,0.7536529786382099,0.4654498768001504,-0.2882031018380595,0.9161248812163446,0.8202644916059549,-0.09586038961038967
chebyshev_40,XGBoost,0.8017857142857142,0.7205357142857143,-0.08124999999999993,0.6700075374460985,0.3961505396026573,-0.27385699784344125,0.915275578080456,0.7968938074121,-0.11838177066835598
legendre_50,RandomForest,0.7803571428571429,1.0,0.21964285714285714,0.7184368120898713,0.1989342806394316,-0.5195025314504397,0.9139323329109916,0.5,-0.41393233291099163
chebyshev_20,XGBoost,0.7964285714285715,0.6705357142857142,-0.12589285714285725,0.6836095681199393,0.42600747022084,-0.2576020978990993,0.913416613873931,0.788961038961039,-0.12445557491289205
legendre_20,XGBoost,0.7946428571428571,0.6883928571428571,-0.10624999999999996,0.8354191865710163,0.5225817449353063,-0.31283744163571003,0.912273321191004,0.8253939657903073,-0.08687935540069669
legendre_20,RandomForest,0.8,1.0,0.19999999999999996,0.7891284780984233,0.1989342806394316,-0.5901941974589917,0.9113864032309154,0.5,-0.41138640323091535
chebyshev_50,XGBoost,0.7892857142857143,0.6696428571428571,-0.11964285714285716,0.6852984981984094,0.4184046486773056,-0.2668938495211038,0.9100530566993982,0.7907150776053216,-0.11933797909407662
chebyshev_20,RandomForest,0.7741071428571429,1.0,0.22589285714285712,0.6574010455936423,0.1989342806394316,-0.4584667649542107,0.9089038248337028,0.5,-0.4089038248337028
chebyshev_30,RandomForest,0.7982142857142858,1.0,0.20178571428571423,0.6071943955506564,0.1989342806394316,-0.4082601149112247,0.9076011640798226,0.5,-0.4076011640798226
chebyshev_40,RandomForest,0.78125,1.0,0.21875,0.6214604902701859,0.1989342806394316,-0.42252620963075427,0.9057907031992398,0.5,-0.4057907031992398
chebyshev_50,RandomForest,0.7946428571428571,1.0,0.2053571428571429,0.6027352387103232,0.1989342806394316,-0.40380095807089156,0.903132918910358,0.5,-0.40313291891035796
legendre_10,kNN,0.775,0.6,-0.17500000000000004,0.7249145305767216,0.3999611189568611,-0.3249534116198605,0.8987616803927778,0.7483865220145708,-0.15037515837820703
chebyshev_10,kNN,0.7598214285714285,0.5866071428571429,-0.17321428571428565,0.6777185772380923,0.3713222652594892,-0.30639631197860306,0.8984775894836871,0.7304610785555907,-0.16801651092809633
legendre_20,kNN,0.7044642857142857,0.6366071428571429,-0.06785714285714273,0.6402932351477318,0.4037424401752447,-0.23655079497248716,0.8597996515679442,0.7561371555273995,-0.10366249604054478
chebyshev_20,kNN,0.7258928571428571,0.6223214285714286,-0.10357142857142854,0.5693568284547812,0.3402791833607512,-0.22907764509403,0.8492546325625593,0.7130958980044346,-0.13615873455812466
legendre_30,kNN,0.6821428571428572,0.6196428571428572,-0.0625,0.5518446426380661,0.416658994352543,-0.1351856482855231,0.8353470462464365,0.7628711989230282,-0.07247584732340828
legendre_40,kNN,0.6607142857142858,0.6205357142857143,-0.04017857142857151,0.5482181449307276,0.4029501830375412,-0.14526796189318641,0.8327090592334494,0.7607182451694647,-0.07199081406398466
chebyshev_10,GaussianNB,0.6857142857142857,0.9517857142857142,0.2660714285714285,0.4976293504920641,0.2052755382824587,-0.2923538122096054,0.8231737012987013,0.5682847640164713,-0.25488893728222994
chebyshev_30,kNN,0.6607142857142857,0.6589285714285714,-0.0017857142857142794,0.5541844661691036,0.3400287615498815,-0.21415570461922206,0.8207010215394362,0.7160664792524548,-0.10463454228698144
legendre_50,kNN,0.65,0.6285714285714286,-0.021428571428571463,0.5262346023531788,0.3831910921353986,-0.14304351021778017,0.8184906556857776,0.7515352787456446,-0.06695537694013298
legendre_10,GaussianNB,0.6982142857142858,0.9491071428571428,0.25089285714285703,0.4795105505306366,0.2051814234644597,-0.27432912706617696,0.8168613398796326,0.5679838454228698,-0.24887749445676277
legendre_20,GaussianNB,0.7142857142857143,0.9633928571428572,0.24910714285714286,0.4420084449518435,0.2044815773805851,-0.2375268675712584,0.8135829109914475,0.5671553294266709,-0.24642758156477662
chebyshev_40,kNN,0.65625,0.5991071428571428,-0.05714285714285716,0.5239977212792515,0.362011036946638,-0.16198668433261348,0.8113804640481469,0.7191677225213811,-0.09221274152676584
chebyshev_20,GaussianNB,0.6910714285714286,0.9625,0.27142857142857146,0.4544604400257824,0.2045035893071859,-0.2499568507185965,0.8088483924611973,0.5692746278112132,-0.23957376464998414
chebyshev_50,kNN,0.6607142857142857,0.65,-0.010714285714285676,0.4962277252249013,0.3306951219822192,-0.1655326032426821,0.8061094393411465,0.7027211355717453,-0.10338830376940122
legendre_30,GaussianNB,0.7285714285714285,0.8625,0.1339285714285715,0.4160119113295631,0.1841991805071832,-0.2318127308223799,0.7998525102945835,0.547212543554007,-0.25263996674057654
legendre_40,GaussianNB,0.74375,0.9366071428571427,0.19285714285714273,0.3961301345000508,0.2077854709077186,-0.1883446635923322,0.7946468165980362,0.524804006968641,-0.2698428096293951
chebyshev_30,GaussianNB,0.6991071428571429,0.8642857142857142,0.16517857142857129,0.4195388064048636,0.1859923998310831,-0.23354640657378048,0.78966681184669,0.5466037773202407,-0.24306303452644928
chebyshev_40,GaussianNB,0.7196428571428571,0.9517857142857142,0.2321428571428571,0.4044870718807861,0.2079202066284446,-0.1965668652523415,0.7828278428888185,0.5257364586632879,-0.2570913842255306
legendre_50,GaussianNB,0.6910714285714286,0.9544642857142858,0.2633928571428572,0.3992177809004801,0.2060271304666375,-0.1931906504338426,0.7764857855559075,0.5202931976560026,-0.25619258789990496
chebyshev_50,GaussianNB,0.7026785714285715,0.9633928571428572,0.2607142857142857,0.3858651590496481,0.2061677598380513,-0.17969739921159678,0.7626950031675641,0.5208465315172632,-0.24184847165030088
laguerre_20,SVM_RBF,0.3330357142857142,0.6776785714285715,0.34464285714285725,0.3711427689347234,0.2455650934725812,-0.1255776754621422,0.7478460563826418,0.6071369179600887,-0.14070913842255306
hermite_10,XGBoost,0.5928571428571429,0.6276785714285714,0.03482142857142856,0.4049374570164434,0.3120606989883586,-0.09287675802808482,0.7401468957871397,0.7010631137155527,-0.039083782071586914
laguerre_20,XGBoost,0.5991071428571428,0.5580357142857142,-0.04107142857142865,0.3693093657165255,0.2427683860163453,-0.12654097970018022,0.7314004592968008,0.5963068181818182,-0.13509364111498257
laguerre_20,RandomForest,0.5928571428571429,0.9892857142857142,0.39642857142857135,0.3862288036124105,0.2008794260419409,-0.18534937757046963,0.7297404577130187,0.5064509423503326,-0.22328951536268604
hermite_10,SVM_RBF,0.5616071428571429,0.8008928571428571,0.2392857142857142,0.4448309345441806,0.2857524947641436,-0.159078439780037,0.727173740893253,0.7461137947418436,0.018940053848590543
hermite_10,LogisticRegression,0.51875,0.6928571428571428,0.1741071428571428,0.475595419027664,0.313766582053638,-0.161828836974026,0.7240932847640165,0.7289535159961988,0.004860231232182377
hermite_10,RandomForest,0.5044642857142857,1.0,0.4955357142857143,0.4099600400249808,0.1989342806394316,-0.2110257593855492,0.7170612923661703,0.5,-0.21706129236617033
laguerre_30,XGBoost,0.5607142857142857,0.5973214285714286,0.03660714285714284,0.3639163986011746,0.3028955064583732,-0.061020892142801375,0.7051839166930629,0.6774766392144441,-0.027707277478618786
hermite_10,kNN,0.5258928571428572,0.6294642857142857,0.10357142857142854,0.3906804815959467,0.2902141343753774,-0.1004663472205693,0.7027389531200507,0.6743565885334177,-0.028382364586633013
laguerre_30,LogisticRegression,0.4410714285714285,0.6928571428571428,0.25178571428571433,0.4253102263489022,0.2778287807220239,-0.14748144562687832,0.6832079505859994,0.6794623059866962,-0.003745644599303155
laguerre_30,RandomForest,0.5258928571428572,0.9946428571428572,0.46875,0.337689813036273,0.2002190058278121,-0.1374708072084609,0.6789812321824517,0.5025548384542288,-0.17642639372822289
laguerre_50,XGBoost,0.5125,0.7330357142857142,0.22053571428571428,0.3426157934974024,0.2652228441616304,-0.07739294933577201,0.6763630424453595,0.6696072220462466,-0.006755820399112933
laguerre_50,SVM_RBF,0.3339285714285714,0.9267857142857142,0.5928571428571427,0.3708795096303487,0.2179493129988813,-0.15293019663146742,0.6720026924295217,0.6601164079822617,-0.011886284447260032
laguerre_10,XGBoost,0.6169642857142856,0.7142857142857143,0.09732142857142867,0.2873350492367643,0.2326909655580061,-0.05464408367875817,0.6711316122901488,0.5885858805828319,-0.08254573170731694
laguerre_40,XGBoost,0.5017857142857143,0.5714285714285714,0.06964285714285712,0.3342730568333379,0.3075846616325449,-0.026688395200793025,0.6706228222996515,0.6696289990497307,-0.000993823249920811
laguerre_10,RandomForest,0.6526785714285714,0.9991071428571427,0.3464285714285713,0.2827527368747005,0.1993235196563796,-0.08342921721832089,0.6696349382324992,0.500663208742477,-0.16897172949002215
laguerre_10,kNN,0.6142857142857143,0.5910714285714286,-0.023214285714285743,0.2904019022904709,0.2261387886680495,-0.0642631136224214,0.6689390639847957,0.5671137551472917,-0.10182530883750407
laguerre_50,RandomForest,0.5321428571428571,0.9794642857142858,0.44732142857142865,0.3234136227139521,0.2003295970043275,-0.12308402570962457,0.6674819844789357,0.505452169781438,-0.16202981469749766
laguerre_10,LogisticRegression,0.7946428571428571,0.9678571428571427,0.17321428571428565,0.2310460144014635,0.2005448776203335,-0.030501136781130006,0.6667960088691796,0.5599303135888501,-0.10686569528032941
laguerre_30,SVM_RBF,0.3732142857142857,0.69375,0.32053571428571426,0.3808712983064198,0.2844991302488563,-0.09637216805756349,0.6637402993348116,0.681196547355084,0.017456248020272347
hermite_50,LogisticRegression,0.55625,0.7535714285714286,0.19732142857142854,0.2959857100250928,0.2539186043765672,-0.04206710564852556,0.661411149825784,0.6349956445993031,-0.02641550522648084
laguerre_30,GaussianNB,0.2071428571428571,0.9741071428571428,0.7669642857142858,0.495448381133305,0.2058882609925572,-0.28956012014074783,0.6608182214127336,0.5076595660437124,-0.15315865536902118
laguerre_20,LogisticRegression,0.4883928571428571,0.7107142857142856,0.22232142857142856,0.3623102396834193,0.2474023497569519,-0.11490788992646739,0.66062123851758,0.6284308679125752,-0.03219037060500485
hermite_40,LogisticRegression,0.6294642857142857,0.6946428571428571,0.06517857142857142,0.2965357767019697,0.2712193830734481,-0.02531639362852156,0.6581782546721571,0.6473907190370605,-0.010787535635096601
hermite_50,SVM_RBF,0.5482142857142858,0.6526785714285714,0.10446428571428568,0.2977136106728172,0.2902543465492616,-0.007459264123555631,0.6576358093126385,0.6523974501108648,-0.005238359201773735
laguerre_40,SVM_RBF,0.5241071428571429,0.60625,0.08214285714285707,0.3016380794578416,0.2975066586049576,-0.004131420852883982,0.6569231073804245,0.6735171840354768,0.016594076655052303
laguerre_50,kNN,0.5321428571428571,0.55,0.017857142857142905,0.3136578466167953,0.2508593123340362,-0.06279853428275911,0.6522648083623693,0.6010423265758631,-0.051222481786506235
hermite_50,XGBoost,0.5830357142857143,0.7089285714285715,0.12589285714285714,0.2859616786860237,0.2581677422649279,-0.02779393642109579,0.6504800839404498,0.6326269005384859,-0.017853183401963846
laguerre_40,LogisticRegression,0.53125,0.6535714285714286,0.12232142857142858,0.2903947263492653,0.3007613883991412,0.010366662049875908,0.6490814063984796,0.6797671840354766,0.03068577763699709
laguerre_10,SVM_RBF,0.8071428571428572,0.8098214285714287,0.00267857142857153,0.229667618701602,0.248271892063495,0.01860427336189302,0.6488240418118466,0.6502316281279696,0.0014075863161230329
laguerre_40,RandomForest,0.5883928571428572,0.9955357142857142,0.40714285714285703,0.2872145117991584,0.2001468520555966,-0.08706765974356181,0.6403399192271144,0.5027745882166614,-0.13756533101045298
hermite_40,SVM_RBF,0.6178571428571429,0.7535714285714286,0.13571428571428568,0.2776402681057369,0.2863238954751161,0.008683627369379221,0.639808362369338,0.7114665821982895,0.07165821982895149
hermite_20,SVM_RBF,0.5482142857142857,0.8919642857142858,0.3437500000000001,0.2771393054486915,0.229947384508535,-0.04719192094015648,0.639739071903706,0.642649271460247,0.0029101995565409267
hermite_10,GaussianNB,0.4410714285714285,0.9339285714285716,0.49285714285714305,0.3656690202157195,0.2054641420630532,-0.16020487815266632,0.6375772093759899,0.5967077130186886,-0.040869496357301305
laguerre_30,kNN,0.4508928571428571,0.5321428571428571,0.08125000000000004,0.309790787999951,0.2900072103579988,-0.01978357764195221,0.6361914000633513,0.6373594393411467,0.0011680392777954074
laguerre_20,kNN,0.5142857142857143,0.5901785714285714,0.0758928571428571,0.2852070476467468,0.2295025946500202,-0.055704452996726606,0.6351619417168198,0.5628246753246753,-0.07233726639214455
hermite_40,XGBoost,0.6633928571428571,0.6714285714285715,0.008035714285714368,0.2598203101352591,0.2568258035265608,-0.0029945066086982663,0.6312242635413368,0.6246149429838455,-0.006609320557491305
laguerre_40,kNN,0.5330357142857143,0.4910714285714285,-0.04196428571428579,0.2797519173651038,0.2901611064423409,0.010409189077237091,0.619140996198923,0.6202130186886284,0.0010720224897053932
laguerre_50,LogisticRegression,0.6089285714285715,0.8089285714285713,0.19999999999999984,0.268039856314429,0.254912492794226,-0.013127363520202995,0.6145173424136838,0.6760017421602786,0.06148439974659481
hermite_50,RandomForest,0.6169642857142857,0.9741071428571428,0.3571428571428571,0.2601405403785581,0.2022521407956404,-0.05788839958291769,0.6129860231232183,0.519144955654102,-0.09384106746911625
hermite_50,GaussianNB,0.5910714285714286,0.9464285714285714,0.3553571428571428,0.2556683286058879,0.2069485696824392,-0.04871975892344871,0.6124376385809313,0.5224669385492555,-0.08997070003167573
