representation,n_features,classifier,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,youden_j_mean,youden_j_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,accuracy_mean,accuracy_std,brier_mean,brier_std,log_loss_mean,log_loss_std
legendre_40_raw,40,LogisticRegression,0.8083564301552106,0.022478619094693435,0.6267718668720733,0.02850228111301025,0.45606192587899913,0.03923865274667023,0.5289131085096825,0.041414850406010346,0.6946428571428571,0.08277876698186892,0.761419068736142,0.09906233526885612,0.4397281964773042,0.08212317994681406,0.7481349911190053,0.06448251794982301,0.1702961358654293,0.032699529875701225,0.5249848247076588,0.08142189966111234
legendre_50_raw,50,LogisticRegression,0.8062143649033893,0.02533593332259675,0.6189508744394964,0.02776351818492251,0.45539079822616413,0.04337654685820355,0.5246917399735422,0.03330995578975225,0.69375,0.04818304396386328,0.761640798226164,0.05186606193286918,0.42506740957360895,0.04783171343771888,0.7481349911190053,0.036322194557292214,0.15183601919437476,0.024797241664099377,0.4824487571545658,0.055811140257950406
chebyshev_50_L2,50,kNN,0.8061094393411465,0.019051190027871163,0.6449470566026284,0.03132278603433138,0.48865220145707944,0.04379868771370197,0.5625773636260176,0.0315419080541926,0.6607142857142857,0.06799797415949918,0.8279379157427937,0.051251018168642554,0.49622772522490133,0.05249461601368114,0.7946714031971581,0.03191890931370996,0.116566263249219,0.004905885688155829,0.7794297723473207,0.15409241814049457
legendre_30_L2,30,GaussianNB,0.7998525102945835,0.017909178194880502,0.5049736935686719,0.05462979186144972,0.47269559708584097,0.03589691285143656,0.5282604042358603,0.02030625832818417,0.7285714285714285,0.05650060702421087,0.7441241685144124,0.03780543796758869,0.41601191132956317,0.02349116459193855,0.7410301953818828,0.022635214667245468,0.15971844311030334,0.01103026602600368,0.9968186522958618,0.17463717144302027
chebyshev_40_raw,40,XGBoost,0.7968938074121,0.018454235434844528,0.6235087100805884,0.023074211455479353,0.44337385175799804,0.03801858477152504,0.5095200105868709,0.026460115926169328,0.7205357142857143,0.04038198069782319,0.7228381374722839,0.05201067874577733,0.3961505396026573,0.035096459645888006,0.7223801065719361,0.03660339539864704,0.12655493542551993,0.014010020044239133,0.4166118638975136,0.03007425198177384
legendre_40_L2,40,GaussianNB,0.7946468165980362,0.021184754033595304,0.48834832314121507,0.052425801698622584,0.45794068736141913,0.053818316069838674,0.5141748622863094,0.029049174047324416,0.74375,0.08008662578973776,0.714190687361419,0.057852562399119435,0.3961301345000508,0.03156311727195644,0.7200710479573712,0.03616163444714834,0.17492099130070596,0.013919752692189308,1.2645084875101253,0.23897216978778335
chebyshev_30_raw,30,XGBoost,0.7943458980044346,0.015722676944216033,0.6155496763569791,0.02852633413329715,0.42088612606905296,0.04210216308716421,0.5025310079996634,0.029448389973421345,0.6732142857142857,0.06245746852178418,0.7476718403547672,0.06372381930376463,0.4060321580206246,0.049215278153526214,0.7328596802841918,0.0421175183702412,0.12100149318575859,0.006175366045722395,0.4143665177303134,0.030100007890415854
legendre_10_raw,10,XGBoost,0.7933322774786189,0.02597527467462404,0.617273879645734,0.04468833804312085,0.44977629078238834,0.04590184969245312,0.5243392293146149,0.0351076105955666,0.6830357142857143,0.06564507440509755,0.766740576496674,0.08121879892076668,0.43143615540418967,0.05350933733623078,0.750088809946714,0.05478485270483009,0.12887953743338584,0.013230556341851819,0.4932638186239517,0.08046078946247955
chebyshev_50_raw,50,XGBoost,0.7907150776053216,0.019040259766435023,0.6119885588512217,0.022201800217893454,0.42729252454862215,0.0287115399670655,0.5086175531956452,0.025719425340128232,0.6696428571428571,0.07738095238095236,0.7576496674057649,0.07554763331491116,0.4184046486773056,0.05941381454009602,0.7401420959147424,0.04655200205284995,0.12321323826909066,0.008839812012171575,0.4201303319072637,0.024274233571554994
chebyshev_30_L2,30,GaussianNB,0.78966681184669,0.021924349683572483,0.46715373057249554,0.051877075030537914,0.45631335128286354,0.034207108577160084,0.5232865899017073,0.024079985575276228,0.6991071428571429,0.033684901945049785,0.7572062084257206,0.03847927752031078,0.41953880640486363,0.03086042106565503,0.7456483126110125,0.02765399709560009,0.18038178183755463,0.012362158963917158,1.3917368017867895,0.23632444520171655
