K,metric,mean,std,n,se,ci95_lo,ci95_hi
42,test_ROC_AUC,0.9380680221941284,0.01675498482955327,100,0.001675498482955327,0.9347434697018911,0.9413925746863657
43,test_ROC_AUC,0.9374401250175586,0.016940869164504845,100,0.0016940869164504845,0.9340786890404768,0.9408015609946404
44,test_ROC_AUC,0.9379893594605985,0.017126308285215483,100,0.0017126308285215484,0.9345911283388365,0.9413875905823604
45,test_ROC_AUC,0.9375458280657396,0.017062089717993143,100,0.0017062089717993143,0.9341603393009466,0.9409313168305327
46,test_ROC_AUC,0.9373655007725804,0.017296233849289036,100,0.0017296233849289037,0.9339335527323442,0.9407974488128166
47,test_ROC_AUC,0.9359323640960809,0.017379595460677282,100,0.0017379595460677282,0.9324838753036019,0.93938085288856
48,test_ROC_AUC,0.9362870487428009,0.01735949884653798,100,0.001735949884653798,0.9328425475545663,0.9397315499310355
49,test_ROC_AUC,0.9364496418036241,0.017521709729427275,100,0.0017521709729427276,0.9329729544570334,0.9399263291502148
50,test_ROC_AUC,0.9358800393313668,0.017705991358566348,100,0.0017705991358566348,0.9323667865115358,0.9393932921511977
51,test_ROC_AUC,0.9356001545160837,0.017710451284649976,100,0.0017710451284649975,0.9320860167501589,0.9391142922820085
52,test_ROC_AUC,0.935092534063773,0.017706065366046703,100,0.0017706065366046703,0.9315792665592523,0.9386058015682938
53,test_ROC_AUC,0.935242836072482,0.01779865215884266,100,0.001779865215884266,0.9317111973395855,0.9387744748053786
54,test_ROC_AUC,0.9357650302008709,0.01757070181359054,100,0.001757070181359054,0.9322786217618912,0.9392514386398505
55,test_ROC_AUC,0.9372134428992837,0.017205206833011716,100,0.0017205206833011716,0.9337995565939224,0.9406273292046449
1,test_LogLoss,0.22240339908554133,0.026095668274770417,100,0.0026095668274770415,0.2172254523501638,0.22758134582091885
2,test_LogLoss,0.20996270373810527,0.026400193928464506,100,0.0026400193928464506,0.20472433250630245,0.2152010749699081
3,test_LogLoss,0.20271193216507277,0.02558760262816262,100,0.002558760262816262,0.19763479667654704,0.2077890676535985
4,test_LogLoss,0.20138181933597843,0.026050850164762388,100,0.002605085016476239,0.1962127654859625,0.20655087318599435
5,test_LogLoss,0.20110506410027396,0.026416556974116635,100,0.0026416556974116637,0.1958634460852149,0.20634668211533302
6,test_LogLoss,0.19935251278971555,0.0264982289596868,100,0.00264982289596868,0.19409468928083268,0.20461033629859843
7,test_LogLoss,0.2006292011134102,0.025927860931076543,100,0.002592786093107654,0.19548455099562848,0.20577385123119193
8,test_LogLoss,0.20104468245793908,0.02596115224739547,100,0.002596115224739547,0.19589342662073927,0.20619593829513888
9,test_LogLoss,0.2013517205011995,0.026175904405893808,100,0.002617590440589381,0.1961578531766715,0.20654558782572752
10,test_LogLoss,0.20085442349141144,0.026467965604121898,100,0.0026467965604121896,0.19560260488884096,0.20610624209398193
11,test_LogLoss,0.1985708849772404,0.025898066893217917,100,0.0025898066893217915,0.19343214664295622,0.2037096233115246
12,test_LogLoss,0.19689563247967548,0.02587811780028122,100,0.0025878117800281217,0.19176085247822866,0.2020304124811223
13,test_LogLoss,0.1960794215755039,0.025309662093758234,100,0.0025309662093758235,0.19105743551896798,0.20110140763203982
14,test_LogLoss,0.19710839763514185,0.025562644656287433,100,0.0025562644656287434,0.1920362143497033,0.2021805809205804
15,test_LogLoss,0.1965807477043397,0.025267283944013265,100,0.0025267283944013265,0.19156717039211385,0.20159432501656555
16,test_LogLoss,0.19769313889132709,0.025661933774968143,100,0.0025661933774968142,0.1926012544906491,0.20278502329200507
17,test_LogLoss,0.1989965293871948,0.02529851303593135,100,0.002529851303593135,0.1939767555456123,0.2040163032287773
18,test_LogLoss,0.20016936453591858,0.02510544502497024,100,0.002510544502497024,0.19518789957635188,0.20515082949548527
19,test_LogLoss,0.1998586177236179,0.02545850321309779,100,0.002545850321309779,0.1948070983598733,0.2049101370873625
20,test_LogLoss,0.20112747676909618,0.025832192900758968,100,0.0025832192900758968,0.19600180926406255,0.2062531442741298
21,test_LogLoss,0.20102339092781527,0.026791026125821422,100,0.002679102612582142,0.1957074701088903,0.20633931174674022
22,test_LogLoss,0.20260633925028115,0.027861242986724752,100,0.0027861242986724753,0.1970780641876284,0.2081346143129339
23,test_LogLoss,0.20408618466883166,0.027630643855739337,100,0.002763064385573934,0.19860366547665115,0.20956870386101217
24,test_LogLoss,0.20565925987845915,0.028298125190233014,100,0.0028298125190233015,0.20004429790840164,0.21127422184851666
25,test_LogLoss,0.20627655893352323,0.02853155932847075,100,0.0028531559328470748,0.20061527856604872,0.21193783930099774
26,test_LogLoss,0.2082601273542123,0.028402746024985607,100,0.002840274602498561,0.20262440634077428,0.2138958483676503
27,test_LogLoss,0.20870227508342537,0.028555088850919095,100,0.0028555088850919096,0.20303632594822038,0.21436822421863036
28,test_LogLoss,0.2088920694215307,0.028476686217954877,100,0.0028476686217954877,0.20324167706966337,0.21454246177339806
29,test_LogLoss,0.2083179065665864,0.028359906944476956,100,0.0028359906944476956,0.20269068575612195,0.21394512737705088
30,test_LogLoss,0.21069852832681452,0.028130626796589103,100,0.00281306267965891,0.2051168016719602,0.21628025498166883
31,test_LogLoss,0.21165561705609354,0.02796948488193321,100,0.002796948488193321,0.20610586445310636,0.21720536965908072
32,test_LogLoss,0.21184753018861957,0.02832087708644305,100,0.0028320877086443048,0.206228053748748,0.21746700662849114
33,test_LogLoss,0.21281394861731684,0.028340195729588243,100,0.002834019572958824,0.20719063893952425,0.21843725829510943
34,test_LogLoss,0.21341873089170896,0.028529642131426714,100,0.0028529642131426714,0.20775783093772188,0.21907963084569604
35,test_LogLoss,0.2136099210959324,0.02864500717722116,100,0.002864500717722116,0.20792613021399672,0.2192937119778681
36,test_LogLoss,0.2145524562800477,0.028479477434364395,100,0.0028479477434364396,0.20890151009028884,0.22020340246980658
37,test_LogLoss,0.21483875876490754,0.028739561564326003,100,0.0028739561564326004,0.20913620624119783,0.22054131128861726
38,test_LogLoss,0.21511874684352952,0.02827186732676019,100,0.002827186732676019,0.20950899500325354,0.2207284986838055
39,test_LogLoss,0.21553362098799136,0.028193096410417052,100,0.0028193096410417053,0.20993949900646539,0.22112774296951734
40,test_LogLoss,0.2160620023838807,0.028358121117703534,100,0.0028358121117703534,0.2104351359201919,0.22168886884756953
41,test_LogLoss,0.21609553364681872,0.028646985232288664,100,0.002864698523228866,0.21041135027584343,0.221779717017794
42,test_LogLoss,0.21687644579568183,0.02889837214603327,100,0.002889837214603327,0.21114238180714062,0.22261050978422303
43,test_LogLoss,0.21817158439445905,0.02931190361359404,100,0.002931190361359404,0.212355466791123,0.2239877019977951
44,test_LogLoss,0.2184581746007705,0.029755307263138724,100,0.0029755307263138724,0.21255407609365226,0.22436227310788873
45,test_LogLoss,0.21977541901172448,0.029940290285909187,100,0.0029940290285909187,0.21383461585965258,0.2257162221637964
46,test_LogLoss,0.22006242447897545,0.030168601363630913,100,0.0030168601363630915,0.2140763194558385,0.2260485295021124
47,test_LogLoss,0.22156382083710088,0.029972845298573695,100,0.0029972845298573696,0.21561655806423016,0.2275110836099716
48,test_LogLoss,0.22201859292953136,0.030502136635083155,100,0.0030502136635083155,0.21596630727243765,0.22807087858662506
49,test_LogLoss,0.22250589862976505,0.0309103013161065,100,0.00309103013161065,0.2163726242447588,0.2286391730147713
50,test_LogLoss,0.22402441733433215,0.03143170906876138,100,0.0031431709068761382,0.21778768433917525,0.23026115032948904
51,test_LogLoss,0.22483277892324727,0.031584302755889415,100,0.0031584302755889417,0.21856576803001992,0.2310997898164746
52,test_LogLoss,0.22541252454760186,0.031373668433912885,100,0.0031373668433912886,0.21918730807359968,0.23163774102160403
53,test_LogLoss,0.22642821725199003,0.032223123106694035,100,0.0032223123106694036,0.2200344505418542,0.23282198396212586
54,test_LogLoss,0.22683383898533843,0.031694652460737986,100,0.0031694652460737987,0.2205449323166148,0.23312274565406207
55,test_LogLoss,0.22604389551374063,0.03160461046315926,100,0.0031604610463159257,0.21977285513081202,0.23231493589666924
1,test_Brier,0.05601720264987559,0.008111639354031695,100,0.0008111639354031695,0.05440767741873308,0.05762672788101811
2,test_Brier,0.0523605269625439,0.008028481160051261,100,0.0008028481160051261,0.05076750212121731,0.05395355180387049
3,test_Brier,0.05064866142284804,0.007568560606230875,100,0.0007568560606230875,0.04914689479744879,0.05215042804824729
4,test_Brier,0.05029394010378315,0.007578269229964798,100,0.0007578269229964799,0.04879024707680496,0.05179763313076134
5,test_Brier,0.0503040394565789,0.007675802871980504,100,0.0007675802871980504,0.04878099363901696,0.051827085274140844
6,test_Brier,0.05013749268145253,0.007853576884221797,100,0.0007853576884221797,0.04857917264302652,0.051695812719878546
7,test_Brier,0.05110479412768018,0.007662901349302236,100,0.0007662901349302237,0.04958430825211819,0.052625280003242174
8,test_Brier,0.05171422619373035,0.007569675634929577,100,0.0007569675634929577,0.05021223832244656,0.053216214065014145
9,test_Brier,0.05209445422352098,0.007595752593252916,100,0.0007595752593252917,0.050587292117962084,0.05360161632907987
10,test_Brier,0.05196669430562604,0.0076560112117034845,100,0.0007656011211703485,0.050447575582846266,0.05348581302840581
11,test_Brier,0.05140915459776782,0.007581420177815984,100,0.0007581420177815984,0.04990483635437564,0.05291347284116
12,test_Brier,0.0511473580541272,0.007673998277938164,100,0.0007673998277938164,0.04962467030717421,0.05267004580108019
13,test_Brier,0.05129065538088207,0.007468218957301331,100,0.000746821895730133,0.04980879871555844,0.052772512046205707
14,test_Brier,0.0516051071495347,0.007554084459456519,100,0.0007554084459456519,0.05010621290571779,0.05310400139335161
15,test_Brier,0.05165914579209498,0.007426265981463185,100,0.0007426265981463184,0.05018561350735411,0.05313267807683586
16,test_Brier,0.052079361241300984,0.0075374991082283755,100,0.0007537499108228376,0.05058375789098956,0.05357496459161241
17,test_Brier,0.052701843078812004,0.0074551239110332256,100,0.0007455123911033225,0.05122258475476707,0.05418110140285694
18,test_Brier,0.05299215542606808,0.007363430345428937,100,0.0007363430345428937,0.05153109109474549,0.054453219757390675
19,test_Brier,0.05306170319982648,0.007434467281873564,100,0.0007434467281873564,0.05158654359915567,0.054536862800497285
20,test_Brier,0.05352299158865922,0.007374251264005575,100,0.0007374251264005576,0.052059780152329475,0.05498620302498896
21,test_Brier,0.053505089589822453,0.007498182367817245,100,0.0007498182367817245,0.05201728753379152,0.05499289164585339
