K,runtime_s_mean,runtime_s_std,test_PR_AUC_mean,test_PR_AUC_std,test_ROC_AUC_mean,test_ROC_AUC_std,test_LogLoss_mean,test_LogLoss_std,test_Brier_mean,test_Brier_std,youden_test_Precision_mean,youden_test_Precision_std,youden_test_Sensitivity_mean,youden_test_Sensitivity_std,youden_test_Specificity_mean,youden_test_Specificity_std,youden_val_thr_mean,youden_val_thr_std,f1_test_Precision_mean,f1_test_Precision_std,f1_test_Sensitivity_mean,f1_test_Sensitivity_std,f1_test_Specificity_mean,f1_test_Specificity_std,f1_val_thr_mean,f1_val_thr_std
20,0.3359906911849976,0.00475790538287734,0.845741547832821,0.03165983686473024,0.9164275179098188,0.02012499355380729,0.6712654933190174,0.1909177943450076,0.06560797945489041,0.008010874467384877,0.7485828878559295,0.06739078078021002,0.8110714285714287,0.04510737169358854,0.9297345132743362,0.027989092058614832,0.15015018773466834,0.03568691792807519,0.826586004821209,0.05027394642061543,0.7605952380952381,0.05379862038199346,0.9593215339233038,0.015497796069084229,0.23215269086357948,0.06611884707063094
21,0.3360775995254517,0.006054442386096632,0.8467139123881605,0.032040743126784586,0.9179925200168563,0.019938722554896093,0.6630950033263635,0.19073880062711845,0.06594268787149525,0.008169726402993434,0.7439660813792992,0.06991251784831758,0.8094047619047618,0.04943318636177531,0.9278761061946902,0.028937105577750536,0.15012515644555693,0.03453230096242567,0.8248220906861033,0.05471127734245743,0.7601190476190476,0.05110987311739556,0.958731563421829,0.016878022053371036,0.2321026282853567,0.058421340498818974
22,0.3396472954750061,0.006576194197397052,0.8436039440146861,0.03300534666488403,0.915277602191319,0.020538415169076615,0.6655718839665329,0.19615290598787039,0.06674072860082637,0.008307926084730691,0.7456114717813149,0.06701462516226415,0.8066666666666668,0.04556412728383276,0.9292330383480827,0.027331682282661317,0.14828535669586984,0.03577106930072936,0.8238741062416111,0.05235326133946583,0.7564285714285713,0.05284622171798099,0.9587905604719764,0.015751837417852712,0.23499374217772218,0.06766943806776299
23,0.34289510011672975,0.00916990537633714,0.8398170275584451,0.03372362301946327,0.9137947745469869,0.021200982927986882,0.6828975863613455,0.20552069287328717,0.06833651861003533,0.008363138826129969,0.7194940009712105,0.06889976244650307,0.8070238095238095,0.048491732852307755,0.9188790560471977,0.02970784764787566,0.1374718397997497,0.03783813951832523,0.8194397789624052,0.06131013006815276,0.7417857142857143,0.05492569666137077,0.9578171091445428,0.018771575850015324,0.24335419274092615,0.0763435292388408
24,0.34297670364379884,0.013697719825237265,0.8373598215763792,0.03343522900006233,0.9137433277145667,0.021238689163247202,0.6656350579005844,0.21384009830028886,0.0690376749617973,0.00835480450963224,0.7199806150022158,0.07427344987979877,0.8004761904761906,0.050169779775489226,0.9191150442477876,0.03300880442339788,0.1399874843554443,0.0438934766071106,0.8190764182239324,0.059018491052660445,0.7432142857142857,0.05396759082013418,0.957669616519174,0.01906831608099144,0.23963704630788488,0.06412136491010781
25,0.34237984180450437,0.013076112908340298,0.832193997954558,0.034769593017089595,0.9109325396825396,0.02204212628506977,0.701274740673436,0.22924165489470424,0.06989793191713056,0.008483995714169607,0.7234837313344703,0.07495833435917641,0.7954761904761906,0.04942985593339688,0.9211209439528024,0.030948596758073814,0.14418022528160201,0.05021090276228172,0.8158271226260563,0.049252831518558075,0.7420238095238095,0.05503921566899478,0.9574631268436578,0.015118177601954927,0.23702127659574468,0.062305261752112685
26,0.34369406938552854,0.012699960888224998,0.8301023143433476,0.03460214735991281,0.9131659994381234,0.0209543315597809,0.676158079656882,0.21339904248918712,0.070606182820733,0.008408002136591973,0.712952618934274,0.08045077891599528,0.798452380952381,0.052050176692732805,0.915811209439528,0.03641271471552864,0.13913642052565708,0.04743287853479992,0.8137287987727254,0.05287666766172093,0.7392857142857143,0.05638679314675736,0.9568141592920354,0.01665271844594501,0.23821026282853566,0.06529253390446134
27,0.33825451135635376,0.00483382732304776,0.8317144066466665,0.03365417411825615,0.9145724469728894,0.021377171418918088,0.6365247437806325,0.21152347080190592,0.07149199730140811,0.00851981094747603,0.7114190915523062,0.07458012168221145,0.7980952380952381,0.051013009381300496,0.9157817109144543,0.033293017770261744,0.13896120150187735,0.04903060681977831,0.8042884480940597,0.05256929468961413,0.741547619047619,0.05433874084178049,0.9538938053097346,0.017840850600932646,0.2258322903629537,0.05740333668464444
28,0.33921156644821165,0.009301403943062529,0.8279651553306053,0.03400407295303438,0.9122208175305521,0.021426747187305948,0.6527972662110402,0.21186126377646647,0.07220280406876191,0.008640413792352543,0.7045752673876393,0.07767211582439422,0.7954761904761906,0.05208110865859661,0.9128023598820059,0.03638349526761443,0.1370212765957447,0.04656648911618193,0.7968059629601995,0.05575505560260603,0.7373809523809524,0.06326211969109218,0.951858407079646,0.018810773091341236,0.2219023779724656,0.060934792332559856
29,0.33628042936325075,0.005712161982709075,0.8275962061519284,0.033872487463931636,0.9119567354965585,0.020439068628133106,0.6619604552665176,0.20468376962609122,0.07277191180882475,0.008545222915473823,0.7006909456605307,0.07793514825593546,0.7975,0.05191909616685391,0.9107669616519174,0.0381778072690071,0.13500625782227785,0.04241899444460878,0.788502477766587,0.056040525231403474,0.7435714285714287,0.055874676119895696,0.9489380530973451,0.01927608631658275,0.21026282853566958,0.05671527473780622
30,0.3372986960411072,0.011474853382865947,0.8247992523909228,0.03448371277204816,0.9124046565528866,0.020455512232742452,0.6392808334146917,0.1989054141657288,0.07342209288561148,0.00855667862032338,0.6963159315188799,0.07377158495676538,0.7935714285714286,0.048666333447971576,0.9103834808259588,0.033357385980253944,0.13357947434292866,0.041997723206997954,0.7892408929847591,0.051308297243600316,0.734047619047619,0.05913097887858222,0.9502064896755162,0.016385399502413026,0.2204755944931164,0.06742995838486754
31,0.3370670390129089,0.010159702598796453,0.8268241384630366,0.03434626700980561,0.9131256145526057,0.020547344152115513,0.6343936836545162,0.19847296628287564,0.07389008917413853,0.008574739871964202,0.6905424127134795,0.07662775658623362,0.8001190476190476,0.053542560764632686,0.9063421828908553,0.03904736789302333,0.12833541927409262,0.03906021151989914,0.7838349522291052,0.04910237628969666,0.7330952380952381,0.06258780680045199,0.948613569321534,0.016411663240212353,0.2092866082603254,0.061554586578695974
32,0.33784802198410036,0.010968506315814934,0.8232660061916545,0.034758732333770935,0.9121686683522967,0.02025061681237678,0.6364777189122381,0.1989725887901604,0.07452707519685943,0.008638852603383963,0.6824625528347975,0.07254746581740162,0.8015476190476192,0.050650699591069784,0.903244837758112,0.03750567412472968,0.12500625782227787,0.03421557009455796,0.780164438516138,0.05186050597685082,0.7360714285714286,0.0647878019903824,0.9471681415929203,0.017768974097161713,0.20678347934918648,0.06418108300350849
33,0.3351237154006958,0.004721515248069627,0.8182970851778859,0.03417885582649348,0.908998279252704,0.019966390822592123,0.6514015120766753,0.1933272911466475,0.07549491066045073,0.00852569882518258,0.681428331694676,0.07637308560094976,0.7925,0.05099434445013834,0.903598820058997,0.03728680705112257,0.12690863579474343,0.03734029941295939,0.782177109173533,0.058929100697468394,0.7273809523809525,0.06083218141569799,0.9479351032448378,0.020361235805985676,0.2100250312891114,0.05352340709722666
34,0.3371686911582947,0.01479715507497636,0.8146059293354591,0.03333994065218688,0.9069814931872454,0.02027340741222612,0.6611167151854918,0.20036568151163564,0.07636439710137762,0.008507898445170933,0.6712555097163605,0.0823566538749382,0.7914285714285714,0.05265788876363849,0.898141592920354,0.04212075170250558,0.12389236545682103,0.041993443185391506,0.7821706194019038,0.0555640193139146,0.7180952380952381,0.056977273319992285,0.9489380530973451,0.018560597147756465,0.21271589486858575,0.05300451776412389
35,0.33574174404144286,0.007487651303059536,0.8120564107484044,0.03371012480055119,0.9045729737322659,0.02068645108267792,0.6849298186785174,0.20904132424192148,0.07684046010960915,0.008541180543165385,0.6871426894379955,0.07356077018700959,0.7847619047619048,0.05260893148944937,0.9072271386430678,0.03569094974908412,0.12946182728410513,0.03667518103463128,0.7773546526737236,0.05709725164110423,0.7202380952380952,0.057815802624742854,0.9472861356932154,0.01896793369020354,0.20753441802252814,0.057551728598805994
36,0.33538868427276614,0.011335801798818705,0.8132279891604475,0.03420668264160594,0.9052124596151145,0.020186892048002426,0.6546615547490182,0.19770574952935965,0.07728006057980963,0.00859273883454075,0.6821586537292226,0.07445946211194363,0.7841666666666667,0.056390728152604014,0.9048672566371682,0.037377440193462924,0.12625782227784732,0.035710331046939665,0.7724637808091706,0.05693414618099099,0.7201190476190475,0.057393205607740985,0.9458702064896756,0.018611104455012486,0.2034793491864831,0.06070942648155297
37,0.3407948565483093,0.02440402238325075,0.811470196380194,0.03440519903848515,0.9036976752352858,0.020589503849111294,0.658092214445039,0.2022821390093423,0.07785786213790341,0.00868616523121389,0.6764994269971762,0.07472315696644978,0.7788095238095238,0.057110280115907575,0.9027728613569321,0.03989477579454917,0.1270212765957447,0.038769530862608544,0.764205655505829,0.05695934997855167,0.719642857142857,0.06272934283752377,0.9431858407079646,0.019864110225969622,0.19799749687108886,0.05746192879942459
38,0.3373995685577393,0.007633693821088657,0.8100688814420441,0.034767503663714394,0.902712108442197,0.02079559496715343,0.6614451695975732,0.19939985211358424,0.07816226278134653,0.00881050131046493,0.681456884728761,0.07137427467590304,0.775,0.05520659316350096,0.9060471976401181,0.035359411290559854,0.12996245306633292,0.03582553968996206,0.7671179113219903,0.057641631173965084,0.7179761904761905,0.06241637021489853,0.9442182890855457,0.020042404935793897,0.20016270337922404,0.0611648728769652
