source_id,y,c000,c001
832788184395879424,0,0.48873783705139895,-0.8724307001901757
833223213044650240,0,0.5564033605220172,-0.83091233015271
836644480912524288,0,0.4952146504576884,-0.868770654414656
844818765749387392,0,0.5461686390252793,-0.8376752459905177
846070525377462528,0,0.5026140908599481,-0.8645108881147928
849277216680457600,0,0.5259473546853421,-0.8505171251065383
859683853719128192,0,0.520283631752134,-0.853993526047364
861131120258998656,1,0.6660870769477439,-0.7458739879652663
862792310530019328,0,0.5172041990845407,-0.8558620311997247
868529562204066688,0,0.5369752998937591,-0.8435979654456307
868817943488022016,0,0.5316875104496135,-0.8469406066731553
869050009160765056,0,0.5171066891134444,-0.8559209496642384
869167966142655616,1,0.6293197886122802,-0.7771464493008992
869890070404469760,0,0.5114779541044522,-0.859296399657955
871356544038051712,0,0.5145737289695558,-0.8574461367656665
872072016870129024,1,0.6169539943033171,-0.7869992178605915
872322087046515840,0,0.515827766664574,-0.8566923106564209
873233784048233344,0,0.497075272759318,-0.8677074237386988
877431345781684480,0,0.5187284935953496,-0.8549390328744497
877744947113226880,0,0.5786516253815969,-0.8155748257782581
879166065892619904,0,0.523571872895777,-0.8519815103113496
879823195888098560,0,0.5335792307301896,-0.8457500839688868
880252005422941440,1,0.544001587501464,-0.8390841869537806
882087811884800896,0,0.5046557009350221,-0.8633206956362054
882125367078828672,0,0.5340061996813461,-0.8454805608066257
883309884699633280,0,0.544273739607354,-0.8389076804832736
884393900085830144,0,0.5507744471807118,-0.834654124972004
885963418573729792,0,0.5234747579659803,-0.8520411831434314
887620515740571264,0,0.5188695768827354,-0.8548534156131863
890152695314991488,0,0.6474426344556025,-0.7621141876970859
895907607894131840,0,0.5564696883847213,-0.83086791122838
898625493262383104,0,0.5252270682685682,-0.8509621182861224
900899734281274112,0,0.5162195341386806,-0.8564562992783948
902154929884483456,0,0.5291460847909136,-0.8485307424898918
902948090084293632,0,0.5362135582341961,-0.8440823537817992
905650346067635968,0,0.5115493814833176,-0.859253880005226
907291264093243520,0,0.5166408958862154,-0.8562021868098031
909317797165729024,0,0.5571306471111498,-0.8304248563533678
910825369342312320,0,0.508500404456659,-0.8610617507864428
911573758803336960,0,0.5286011690456156,-0.8488703105207581
921064055980216320,0,0.5038657453534483,-0.8637819809763422
921311411737108480,1,0.6847622753344879,-0.7287665101242887
921531554580422016,0,0.5184603598286741,-0.8551016637139246
922207131460711040,1,0.5402912550153637,-0.8414780803763834
923503803562868608,1,0.6624797465122167,-0.7490798258270671
927227948229851392,0,0.539423609935495,-0.842034541479243
930163614211158528,0,0.5267602467476492,-0.8500139072076148
930769616916994048,0,0.5334278569994161,-0.8458455659143758
932581646439511040,0,0.5290316347946514,-0.8486021031004451
933799149409100160,0,0.5421918257386852,-0.8402547376255318
935406944646293376,0,0.5253046552306896,-0.8509142255203908
937248901501446272,0,0.5566551416836569,-0.8307436748101956
937565831431448192,0,0.5130953180985821,-0.8583316343612852
940739915343553664,0,0.5426097672952764,-0.8399849048856568
940834164104723584,0,0.5360884513568835,-0.8441618164320027
942463434178440576,0,0.5688879003372064,-0.8224150757676594
943819308110646144,0,0.5430253950224725,-0.8397162737262437
944002617314641152,1,0.6816141636458478,-0.7317117819998331
944390774983674496,0,0.5368183788216712,-0.84369782988892
944892878136403712,0,0.5567572686979052,-0.8306752336214489
946335952787500672,0,0.532013716108133,-0.8467357355591028
948264290024452224,0,0.5354830825891244,-0.8445459539070974
948767385313600128,1,0.5476418942645266,-0.8367128274661271
949617548319629824,0,0.512721934625588,-0.8585547261262931
950627174872167808,0,0.5082181253140119,-0.8612283884674908
953141929764017408,0,0.5398552037623905,-0.8417578980744214
958032042088084992,0,0.5491307135207437,-0.8357364772870687
960904069540367232,0,0.5684453418884686,-0.8227210300492519
962707642270976128,0,0.5224997717574753,-0.8526394246769183
963881581386403072,0,0.5454404129209068,-0.8381496023698098
964071899977558784,0,0.5583220744889202,-0.8296242891444227
964250914214814336,0,0.5613055340225779,-0.8276086620351605
968154867688361856,0,0.5622439100355472,-0.8269714539377641
968469534172491648,0,0.5518776404309027,-0.8339250985504749
973652013509753600,0,0.5267031601597042,-0.8500492815582994
976789229421149312,0,0.5467954188911274,-0.8372662479042593
981727582818800128,0,0.5009693753611122,-0.8654650108180556
982729822026188928,0,0.5435849082390062,-0.8393541847961391
983992164455024512,1,0.6703228120696705,-0.7420696245090546
985850201666717312,1,0.5532396234830332,-0.833022159974362
986254272189606656,0,0.5514905536492251,-0.8341811369454906
986474685615378816,0,0.5507611429894502,-0.8346629040354882
988436459174352512,0,0.5075992358350631,-0.8615933006817428
992534888766785024,0,0.5221184903056623,-0.8528729577615508
993122779593859584,0,0.5319120504296678,-0.8467996047517421
993265067567138432,1,0.6672627207559769,-0.7448224362150561
995383482875359744,0,0.5383059325686408,-0.8427495019051664
995594898345623168,0,0.577977962274989,-0.8160523727828083
997207297787944064,0,0.5518151837992249,-0.8339664279385757
999261490450160512,0,0.5481630945147501,-0.8363714616197836
1002864074658491648,0,0.543931646526221,-0.8391295274910033
1003095045116459136,1,0.6392483387246326,-0.7690003650439948
1007272536467408384,0,0.5214282346910533,-0.8532951400699361
1007738557598844544,0,0.5681567473058332,-0.8229203548891323
1008782681328282112,0,0.5417314877279207,-0.8405516017497637
1027196919815890560,0,0.5666497103362079,-0.8239588010185288
1031713889677183360,0,0.5020213880803734,-0.8648552051701227
1032088994940884224,1,0.5070253666708329,-0.8619311327201886
1039246845702047360,0,0.4927835459332393,-0.8701519274571902
1040155596358316160,1,0.5855299031565123,-0.8106508079990576
1042158494227683072,0,0.5339282234763206,-0.845529805610317
1043176057879022336,0,0.5071391681976906,-0.8618641796012609
1053635986871988096,0,0.5001701604186131,-0.865927139329181
1059785555405762432,0,0.4951505582905687,-0.8688071849521838
1063290867195382784,1,0.6382750578345906,-0.7698083856040087
1063343849911907968,1,0.6410555518943876,-0.7674944816644497
1063572032933888256,0,0.527567611093367,-0.849513046236041
1063845021055181440,0,0.5325559368820044,-0.8463948098208841
1069105290840804480,0,0.5433949641139637,-0.8394771664408653
1073281476521799296,0,0.5019503311919536,-0.8648964475683132
1075984763296931456,1,0.5883992849242599,-0.8085705173332871
1079203033831536000,0,0.506926215055816,-0.8619894503352027
1079494159598957952,0,0.516349787589442,-0.8563777769514679
1086478463617600256,0,0.5106398531265701,-0.8597947082873184
1087311897726839808,0,0.5237638399266773,-0.8518635101853241
1088594031363950592,1,0.5610181371957806,-0.8278035091356983
1090955885420336128,0,0.5117613280462231,-0.8591276640385678
1094879011629873920,1,0.5930834721324043,-0.805140978390351
1097050512732828416,0,0.5468930775823208,-0.8372024615901088
1102107819544067456,0,0.545015634507634,-0.8384258811261978
1109216024779190016,0,0.5111603693413431,-0.8594853557884635
1109356620531902464,0,0.5099649733126054,-0.8601951673860261
1112369836444375808,0,0.5014677019756122,-0.8651763657632463
1120795222249055488,0,0.5276827025945185,-0.849441560899009
1123423639154702464,0,0.5097304962279477,-0.8603341334709499
1126589201849910656,1,0.6184523784201139,-0.7858222799249867
1126837931996134656,0,0.5299731259848123,-0.8480144372201962
1128175247373543168,0,0.5347742837136729,-0.8449949499722044
1133031618434371072,0,0.522247809939222,-0.8527937763689919
1133844535484817152,1,0.6260521139889516,-0.7797812196827806
1135587497636732672,0,0.49090186061897845,-0.8712148777659993
1136783049029916288,1,0.5611490728282668,-0.827714756461413
1137558307806394240,0,0.5086144915350256,-0.8609943664162777
1142701823200960512,0,0.5168476744902457,-0.8560773804826437
1142767759538804608,0,0.5249034854860323,-0.8511617536782388
1143749073667258240,0,0.5382307102376473,-0.8427975454147204
1145233586163217664,0,0.5125591598255875,-0.858651912988545
1157530283689218688,0,0.5603833896905142,-0.8282333346098606
1159067504023867904,0,0.5194848144371881,-0.8544796823618221
1160486522563096192,0,0.5029545499681911,-0.8643128604077891
1161864283648012160,0,0.5385571665701612,-0.8425889735428062
1163254581741562240,1,0.6059106425657919,-0.795532710342893
1165536789924111616,0,0.515437958717125,-0.8569268992822685
1165815825359631232,1,0.6541699309211805,-0.7563476062489904
1165963744033018496,0,0.5290085801408763,-0.8486164752921866
1167834597427267456,0,0.5067958155091791,-0.8620661235557202
1171708967165771392,0,0.49670859483710655,-0.8679173761453028
1173045457908931072,0,0.5308857003331487,-0.8474434336177148
1173616997796784384,0,0.4912666410970978,-0.8710092349367917
1174686753891138304,1,0.6863045666181673,-0.7273142662144402
1181028908759001472,0,0.4999020217855211,-0.8660819641435493
1188933362275187200,0,0.5137813931788909,-0.8579211385804396
1189114339315021184,0,0.5662373022117535,-0.8242422687438173
1191689807863866112,0,0.5344174187014831,-0.845220694604932
1191985885728851328,1,0.6385385339907546,-0.7695898521998182
1196375273586921472,0,0.5162803385936964,-0.8564196471249234
1198927755470384128,0,0.5237350033597571,-0.8518812395256484
1201659389029469184,0,0.5101543928572617,-0.8600828422009352
1205683464147877120,1,0.677703954023423,-0.7353348561716752
1206155188995958784,1,0.6715107192262257,-0.7409948407136697
1206171681670509568,0,0.516204052050928,-0.8564656307442832
1206214356465503616,0,0.5033572627636658,-0.8640783911330441
1206447693448896128,0,0.521194574629579,-0.8534378802096215
1211366667953907328,1,0.6090503053633107,-0.7931315940856587
1211503282272546432,1,0.631126423506857,-0.7756799839827268
1213655159671693056,1,0.6018269623131417,-0.7986265131041769
1215384730117100032,0,0.5316121695342889,-0.8469878990889106
1215393732368391936,1,0.6099728277641878,-0.7924223301935402
1220195948186053760,1,0.6234402145285205,-0.7818710244718321
1220934996098999552,0,0.5299934639047805,-0.8480017265419995
1222767813259931776,0,0.5035738100188573,-0.8639522080897137
1223920926079402112,0,0.5352185869612053,-0.8447135989027587
1224427182464055680,0,0.5199955501476738,-0.8541689691311772
1224827748294596352,1,0.6470491261245752,-0.7624483119408315
1225176323543428736,0,0.48492242748916525,-0.8745571675528224
1225417739360402048,0,0.49976486612747895,-0.8661611158350293
1228629618983512064,1,0.5624569548139308,-0.8268265682605027
1231024630186706944,1,0.5443737988396451,-0.83884275471443
1232778626111037184,1,0.6119554427893782,-0.7908922404730345
1234322477875249664,0,0.5245066732334488,-0.8514063364419954
1234828283288291840,0,0.48816254262476344,-0.8727527324380748
1236267410865602304,0,0.513750236322253,-0.8579397966517401
1237226700401153792,0,0.5230804860008273,-0.8522832892677987
1239364769480858496,0,0.49786795268761064,-0.8672528476094196
1240306604269576704,0,0.5131119709565625,-0.858321679360991
1240449403342559360,0,0.5178579589185812,-0.8554666179253758
1240669924143182592,1,0.6036450754449352,-0.7972531736475426
1242599704488616704,0,0.5235369862114089,-0.8520029483920082
1242834931257532032,0,0.5248181816892247,-0.8512143538312874
