K,runtime_s_mean,runtime_s_std,test_PR_AUC_mean,test_PR_AUC_std,test_ROC_AUC_mean,test_ROC_AUC_std,test_LogLoss_mean,test_LogLoss_std,test_Brier_mean,test_Brier_std,youden_test_Precision_mean,youden_test_Precision_std,youden_test_Sensitivity_mean,youden_test_Sensitivity_std,youden_test_Specificity_mean,youden_test_Specificity_std,youden_val_thr_mean,youden_val_thr_std,f1_test_Precision_mean,f1_test_Precision_std,f1_test_Sensitivity_mean,f1_test_Sensitivity_std,f1_test_Specificity_mean,f1_test_Specificity_std,f1_val_thr_mean,f1_val_thr_std
26,1.1541983604431152,0.12625998377756167,0.8950927046231939,0.02722517735618321,0.9450352928782132,0.016233370981539055,0.2002172618931133,0.022251172978188547,0.051416376372993004,0.006430546927022918,0.8106582117694846,0.06648850799213658,0.8442857142857143,0.040563101666339446,0.9490265486725664,0.022799705604214016,0.273201442544557,0.0632876070927929,0.8834389207641512,0.047495917954383474,0.8073809523809524,0.05221836237966975,0.9726548672566372,0.013539719467273911,0.3807461800890274,0.0748272583569655
27,1.1691767191886902,0.1318952661028347,0.8949614818055461,0.026817531486852484,0.944956103385307,0.016168877949773782,0.20606637804721956,0.032794609839303,0.05166517902254146,0.0063303746053487596,0.8169518574196489,0.06053221114792851,0.8414285714285714,0.04411987235973522,0.9514749262536872,0.01974318775833955,0.28087818746734433,0.061611681449773865,0.8847658979308488,0.04720119213725176,0.8082142857142857,0.04770599925741079,0.9730383480825958,0.013132174138483235,0.38030101342797906,0.06885530645469275
28,1.171364107131958,0.11228049703256565,0.8951946127186834,0.0270650529761375,0.9450131689844079,0.01629574413600217,0.20344263524272133,0.02805329708249596,0.05181215291039571,0.006371230560092071,0.8173039788381624,0.06552706382629571,0.8433333333333333,0.04440577579835619,0.9512389380530973,0.02182018932659668,0.28092053631202185,0.06141454318680283,0.8868880953916504,0.047620948131624236,0.8061904761904762,0.05612162648356485,0.9735398230088496,0.013517629805109791,0.3836197780948888,0.07555175295374394
29,1.1462506556510925,0.0976166731026245,0.8960488259451722,0.027209859912420895,0.9459184927658378,0.01645092034416506,0.20145480041614724,0.020638228089534534,0.05199126221286468,0.006377223457153913,0.8053257859099073,0.06717513199412829,0.8466666666666667,0.042715280145733475,0.9471091445427728,0.023007608003609556,0.2696682682624594,0.05942485268648056,0.885059217387324,0.04789231413366448,0.8028571428571429,0.05319452147892115,0.9731858407079647,0.013371448685109331,0.385429287629437,0.0781567130878647
30,1.1255176377296447,0.11009288158941659,0.8951554328841331,0.02729274381555941,0.9453934892541088,0.016356232018122356,0.20434235188234806,0.022663948542730395,0.05235882200912187,0.0063547582404094635,0.8184170445021796,0.07064802561185948,0.8377380952380952,0.04745809137327634,0.9514454277286135,0.02398825009928642,0.28449151254458466,0.06418151131679138,0.8829149389465409,0.051611870494228655,0.8057142857142857,0.048656331118516805,0.972448377581121,0.014537498288739178,0.37804939935623855,0.0686472586612689
31,1.1316093873977662,0.11688128474279376,0.8947171298647107,0.02699735591871681,0.9451752352858547,0.016213847703000328,0.205968109110162,0.024609334556947422,0.05261185306101421,0.006260450661986536,0.8032334607445791,0.07323459222861957,0.8419047619047619,0.04317529283890219,0.9461356932153392,0.026482773643827503,0.27364259412250747,0.059778214819805026,0.8806044021698208,0.05360721523089893,0.8053571428571429,0.047328811277287934,0.9717994100294984,0.015526269038891717,0.3770887772087121,0.07002669824806919
32,1.1866863894462585,0.10978326706341787,0.895431850545116,0.026870065573084877,0.9452042070515522,0.016320896719854625,0.20501776812143147,0.024866007274242312,0.05220006236971903,0.006282530749358408,0.7993397991002641,0.07037739272397195,0.8463095238095238,0.04280951738904972,0.9447787610619468,0.026210748604202378,0.2657885125060522,0.05675390026708498,0.883227537426436,0.05353703843383701,0.8026190476190476,0.05470331684098556,0.9724778761061947,0.01521597051502142,0.38458861414141404,0.08664820010970008
33,1.1765027165412902,0.12082909904731715,0.8952612503771923,0.027009871205641335,0.9452777777777777,0.015876805397162547,0.20441925541648778,0.02217796092718618,0.05238964944754459,0.0063203696967717386,0.8102922161949264,0.06223419771654397,0.8435714285714286,0.04151677153730065,0.9491740412979351,0.021554322196766756,0.2720110246280177,0.05289090818249448,0.8816289253771572,0.049861894925952464,0.8063095238095238,0.04976107623743246,0.9721828908554572,0.013982984804539333,0.3767080470901875,0.07018538272129424
34,1.1274006700515746,0.10152759560810697,0.894191206858283,0.02816832760845228,0.9446467200449501,0.016581981229822785,0.20739692994303205,0.027427751450464388,0.05263533824242711,0.006378641510967627,0.8053061240230113,0.06942365285307256,0.842857142857143,0.04290655053796934,0.9471681415929203,0.024165941849586408,0.2715765189281131,0.05859703233433947,0.8856624846321547,0.05022778107330915,0.8007142857142857,0.05230711048664778,0.9733923303834808,0.014205772759817768,0.38571093591644734,0.07400611477236048
35,1.1737153339385986,0.1342549422491017,0.8941250243350658,0.02763726634076506,0.944970677061385,0.016554410859718593,0.2068551323467574,0.022833912758882007,0.05288131520454639,0.006253410482218247,0.7993468195359169,0.07247320907131588,0.8447619047619048,0.04326935532605435,0.9447787610619468,0.025832437094572145,0.26707100904669945,0.06123924458221307,0.8866731340886254,0.051039106491286144,0.8008333333333333,0.05395697934177702,0.9735693215339234,0.014395934766953262,0.38472128083429985,0.0789400689392883
